05062024
Symbol,Month type,Symbol Type,Step Value,No. of Strikes Provided (ITM),No. of Strikes Provided (ATM),No. of Strikes Provided (OTM),Total Strikes including reserve (ITM),Total Strikes including reserve (ATM),Total Strikes including reserve (OTM)
SBIN,M2,EQUITY,5,12,1,12,36,1,36
SBIN,M2,EQUITY,10,11,1,11,33,1,33
SBIN,M3,EQUITY,20,5,1,5,15,1,15
SBIN,M3,EQUITY,10,6,1,6,18,1,18
SHREECEM,M1,EQUITY,250,10,1,10,30,1,30
SHREECEM,M1,EQUITY,500,7,1,7,21,1,21
SHREECEM,M2,EQUITY,250,10,1,10,30,1,30
SHREECEM,M2,EQUITY,500,7,1,7,21,1,21
SHREECEM,M3,EQUITY,1000,4,1,4,12,1,12
SHREECEM,M3,EQUITY,500,5,1,5,15,1,15
SHRIRAMFIN,M1,EQUITY,20,11,1,11,33,1,33
SHRIRAMFIN,M1,EQUITY,40,8,1,8,24,1,24
SHRIRAMFIN,M2,EQUITY,20,11,1,11,33,1,33
SHRIRAMFIN,M2,EQUITY,40,8,1,8,24,1,24
SHRIRAMFIN,M3,EQUITY,40,6,1,6,18,1,18
SHRIRAMFIN,M3,EQUITY,80,4,1,4,12,1,12
SIEMENS,M1,EQUITY,50,10,1,10,30,1,30
SIEMENS,M1,EQUITY,100,7,1,7,21,1,21
SIEMENS,M2,EQUITY,50,10,1,10,30,1,30
SIEMENS,M2,EQUITY,100,7,1,7,21,1,21
SIEMENS,M3,EQUITY,100,5,1,5,15,1,15
SIEMENS,M3,EQUITY,200,4,1,4,12,1,12
SRF,M1,EQUITY,20,12,1,12,36,1,36
SRF,M1,EQUITY,40,9,1,9,27,1,27
SRF,M2,EQUITY,20,12,1,12,36,1,36
SRF,M2,EQUITY,40,9,1,9,27,1,27
SRF,M3,EQUITY,40,6,1,6,18,1,18
SRF,M3,EQUITY,80,5,1,5,15,1,15
SUNPHARMA,M1,EQUITY,10,12,1,12,36,1,36
SUNPHARMA,M1,EQUITY,20,12,1,12,36,1,36
SUNPHARMA,M2,EQUITY,10,12,1,12,36,1,36
SUNPHARMA,M2,EQUITY,20,12,1,12,36,1,36
SUNPHARMA,M3,EQUITY,20,6,1,6,18,1,18
SUNPHARMA,M3,EQUITY,40,6,1,6,18,1,18
SUNTV,M1,EQUITY,10,6,1,6,18,1,18
SUNTV,M1,EQUITY,20,4,1,4,12,1,12
SUNTV,M2,EQUITY,10,6,1,6,18,1,18
SUNTV,M2,EQUITY,20,4,1,4,12,1,12
SUNTV,M3,EQUITY,20,3,1,3,9,1,9
SUNTV,M3,EQUITY,40,2,1,2,6,1,6
SYNGENE,M1,EQUITY,10,7,1,7,21,1,21
SYNGENE,M1,EQUITY,20,5,1,5,15,1,15
SYNGENE,M2,EQUITY,10,7,1,7,21,1,21
SYNGENE,M2,EQUITY,20,5,1,5,15,1,15
SYNGENE,M3,EQUITY,40,3,1,3,9,1,9
SYNGENE,M3,EQUITY,20,3,1,3,9,1,9
TATACHEM,M1,EQUITY,10,11,1,11,33,1,33
TATACHEM,M1,EQUITY,20,8,1,8,24,1,24
TATACHEM,M2,EQUITY,10,11,1,11,33,1,33
TATACHEM,M2,EQUITY,20,8,1,8,24,1,24
TATACHEM,M3,EQUITY,20,6,1,6,18,1,18
TATACHEM,M3,EQUITY,40,4,1,4,12,1,12
TATACOMM,M1,EQUITY,20,10,1,10,30,1,30
TATACOMM,M1,EQUITY,40,7,1,7,21,1,21
TATACOMM,M2,EQUITY,20,10,1,10,30,1,30
TATACOMM,M2,EQUITY,40,7,1,7,21,1,21
TATACOMM,M3,EQUITY,40,5,1,5,15,1,15
TATACOMM,M3,EQUITY,80,4,1,4,12,1,12
TATACONSUM,M1,EQUITY,10,12,1,12,36,1,36
TATACONSUM,M1,EQUITY,20,9,1,9,27,1,27
TATACONSUM,M2,EQUITY,10,12,1,12,36,1,36
TATACONSUM,M2,EQUITY,20,9,1,9,27,1,27
TATACONSUM,M3,EQUITY,20,6,1,6,18,1,18
TATACONSUM,M3,EQUITY,40,5,1,5,15,1,15
TATAMOTORS,M1,EQUITY,10,10,1,10,30,1,30
TATAMOTORS,M1,EQUITY,20,7,1,7,21,1,21
TATAMOTORS,M2,EQUITY,10,10,1,10,30,1,30
TATAMOTORS,M2,EQUITY,20,7,1,7,21,1,21
TATAMOTORS,M3,EQUITY,20,5,1,5,15,1,15
TATAMOTORS,M3,EQUITY,40,4,1,4,12,1,12
TATAPOWER,M1,EQUITY,5,8,1,8,24,1,24
TATAPOWER,M1,EQUITY,10,6,1,6,18,1,18
TATAPOWER,M2,EQUITY,5,8,1,8,24,1,24
TATAPOWER,M2,EQUITY,10,6,1,6,18,1,18
TATAPOWER,M3,EQUITY,10,4,1,4,12,1,12
TATAPOWER,M3,EQUITY,20,3,1,3,9,1,9
TATASTEEL,M1,EQUITY,1,12,1,12,36,1,36
TATASTEEL,M1,EQUITY,2,11,1,11,33,1,33
TATASTEEL,M2,EQUITY,1,12,1,12,36,1,36
TATASTEEL,M2,EQUITY,2,11,1,11,33,1,33
TATASTEEL,M3,EQUITY,2,6,1,6,18,1,18
TATASTEEL,M3,EQUITY,4,5,1,5,15,1,15
TCS,M1,EQUITY,50,8,1,8,24,1,24
TCS,M1,EQUITY,100,6,1,6,18,1,18
TCS,M2,EQUITY,50,8,1,8,24,1,24
TCS,M2,EQUITY,100,6,1,6,18,1,18
TCS,M3,EQUITY,100,4,1,4,12,1,12
TCS,M3,EQUITY,200,3,1,3,9,1,9
TECHM,M1,EQUITY,10,12,1,12,36,1,36
TECHM,M1,EQUITY,20,10,1,10,30,1,30
TECHM,M2,EQUITY,10,12,1,12,36,1,36
TECHM,M2,EQUITY,20,10,1,10,30,1,30
TECHM,M3,EQUITY,20,6,1,6,18,1,18
TECHM,M3,EQUITY,40,5,1,5,15,1,15
TITAN,M1,EQUITY,20,12,1,12,36,1,36
TITAN,M1,EQUITY,40,12,1,12,36,1,36
TITAN,M2,EQUITY,20,12,1,12,36,1,36
TITAN,M2,EQUITY,40,12,1,12,36,1,36
TITAN,M3,EQUITY,40,6,1,6,18,1,18
TITAN,M3,EQUITY,80,6,1,6,18,1,18
TORNTPHARM,M1,EQUITY,20,12,1,12,36,1,36
TORNTPHARM,M1,EQUITY,40,10,1,10,30,1,30
TORNTPHARM,M2,EQUITY,20,12,1,12,36,1,36
TORNTPHARM,M2,EQUITY,40,10,1,10,30,1,30
TORNTPHARM,M3,EQUITY,40,6,1,6,18,1,18
TORNTPHARM,M3,EQUITY,80,5,1,5,15,1,15
TRENT,M1,EQUITY,50,8,1,8,24,1,24
TRENT,M1,EQUITY,100,6,1,6,18,1,18
TRENT,M2,EQUITY,50,8,1,8,24,1,24
TRENT,M2,EQUITY,100,6,1,6,18,1,18
TRENT,M3,EQUITY,100,4,1,4,12,1,12
TRENT,M3,EQUITY,200,3,1,3,9,1,9
TVSMOTOR,M1,EQUITY,20,10,1,10,30,1,30
TVSMOTOR,M1,EQUITY,40,8,1,8,24,1,24
TVSMOTOR,M2,EQUITY,20,10,1,10,30,1,30
TVSMOTOR,M2,EQUITY,40,8,1,8,24,1,24
TVSMOTOR,M3,EQUITY,40,5,1,5,15,1,15
TVSMOTOR,M3,EQUITY,80,4,1,4,12,1,12
UBL,M1,EQUITY,20,9,1,9,27,1,27
UBL,M1,EQUITY,40,7,1,7,21,1,21
UBL,M2,EQUITY,20,9,1,9,27,1,27
UBL,M2,EQUITY,40,7,1,7,21,1,21
UBL,M3,EQUITY,40,4,1,4,12,1,12
UBL,M3,EQUITY,80,3,1,3,9,1,9
ULTRACEMCO,M1,EQUITY,100,10,1,10,30,1,30
ULTRACEMCO,M1,EQUITY,200,7,1,7,21,1,21
ULTRACEMCO,M2,EQUITY,100,10,1,10,30,1,30
ULTRACEMCO,M2,EQUITY,200,7,1,7,21,1,21
ULTRACEMCO,M3,EQUITY,200,5,1,5,15,1,15
ULTRACEMCO,M3,EQUITY,400,4,1,4,12,1,12
UPL,M1,EQUITY,5,10,1,10,30,1,30
UPL,M1,EQUITY,10,7,1,7,21,1,21
UPL,M2,EQUITY,5,10,1,10,30,1,30
UPL,M2,EQUITY,10,7,1,7,21,1,21
UPL,M3,EQUITY,10,5,1,5,15,1,15
UPL,M3,EQUITY,20,4,1,4,12,1,12
VEDL,M1,EQUITY,20,3,1,3,9,1,9
VEDL,M1,EQUITY,10,4,1,4,12,1,12
VEDL,M2,EQUITY,20,3,1,3,9,1,9
VEDL,M2,EQUITY,10,4,1,4,12,1,12
VEDL,M3,EQUITY,20,3,1,3,9,1,9
VEDL,M3,EQUITY,40,2,1,2,6,1,6
VOLTAS,M1,EQUITY,10,11,1,11,33,1,33
VOLTAS,M1,EQUITY,20,8,1,8,24,1,24
VOLTAS,M2,EQUITY,10,11,1,11,33,1,33
VOLTAS,M2,EQUITY,20,8,1,8,24,1,24
VOLTAS,M3,EQUITY,20,5,1,5,15,1,15
VOLTAS,M3,EQUITY,40,4,1,4,12,1,12
WIPRO,M1,EQUITY,5,10,1,10,30,1,30
WIPRO,M1,EQUITY,10,8,1,8,24,1,24
WIPRO,M2,EQUITY,5,10,1,10,30,1,30
WIPRO,M2,EQUITY,10,8,1,8,24,1,24
WIPRO,M3,EQUITY,10,5,1,5,15,1,15
WIPRO,M3,EQUITY,20,4,1,4,12,1,12
ZEEL,M1,EQUITY,2.5,6,1,6,18,1,18
ZEEL,M1,EQUITY,5,4,1,4,12,1,12
ZYDUSLIFE,M1,EQUITY,10,10,1,10,30,1,30
ZYDUSLIFE,M1,EQUITY,20,7,1,7,21,1,21
ZYDUSLIFE,M2,EQUITY,10,10,1,10,30,1,30
ZYDUSLIFE,M2,EQUITY,20,7,1,7,21,1,21
ZYDUSLIFE,M3,EQUITY,20,5,1,5,15,1,15
ZYDUSLIFE,M3,EQUITY,40,4,1,4,12,1,12
